diameter
63.98
10.4
137.35
43.19
1.6
54.18
62.23
13.06
63.27
16.74
51.98
43.75
38.9
129.69
2.28
1.44
12.21
130.84
0.1
80.41
111.44
82.12
2.8
74.82
94.8
20.52
34.65
79.65
56.25
47.76
8.57
2.55
40.02
110.54
64.73
9.2
52.03
8.55
2.47
103.39
51.9
68.71
81.12
32.93
41.33
105.33
13.42
16.57
0.87
9.55
2.12
1.29
91.42
137.92
62.14
10.26
63.44
524.23
50.66
64.59
25.51
10.23
81.04
31.95
33.72
10.4
39.99
54.37
87.57
26.76
4.21
93.13
40.93
62.45
66.39
2.28
7.96
21.89
96.99
12.37
40.56
157.68
44.48
88.12
28.64
38.88
19.64
32.92
10.73
72.99
129.84
47.54
57.85
19.15
146.56
95.28
34.63
75.46
65.31
89.44
300.56
25.68
11.81
69.19
55.76
40.31
136.3
99.09
12.5
5.15
65.38
40.9
115.73
82.72
66.89
93.82
54.95
1.57
48.51
52.61
50.69
62.86
66.62
9.06
56.21
76.77
8.3
10.07
215.08
86.33
63.23
17.5
61.9
55.9
13.83
22.51
42.98
87.62
93.75
47.3
75.24
48.53
9.84
15.56
71.78
70.25
37.59
77.03
44.55
45.57
34.99
13.01
81.64
329.81
89.92
15.81
55.27
48.18
19.46
145.31
4.97
105.82
37.46
59.9
51.11
22.85
6.04
32.14
17.8
11.17
94.59
31.74
70.07
43.03
72.31
102.22
9.72
28.26
59.25
61.34
45.4
4.66
1.73
50.72
15.07
0.4
19.58
41.53
92.55
50.2
22.23
127.61
43.04
8.09
57.13
8.87
77.21
60.16
11.28
14.17
61.68
48.64
90.01
9.83
137.26
81.89
36.75
44.32
66.16
119.6
34.03
6.14
50.66
51.31
105.76
61.27
60.72
55.22
54.36
41.04
24.09
53.49
38.77
66.38
97.49
84.46
13.7
37.54
81.3
100.58
52.85
44.89
8.57
74.65
34.03
10.91
46.41
222.48
54.51
57.58
75.72
48.13
59.69
49.57
10.66
4.67
19.73
126.06
6.25
59.06
15.59
17.85
27.77
15.62
62.45
102.85
56.66
56.88
26.77
98.77
11.8
59.35
52.64
2.8
14.2
38.96
4.1
39.43
50.44
29.74
51.75
53.21
25.08
60.41
48.97
88.6
42.65
2.34
33.6
123.39
76.83
55.79
73.92
1.34
109.88
45.48
77.67
14.25
179.05
59.31
51.83
3.7
13.07
98.63
39.18
76.89
52.11
24.2
230.77
130.77
63.23
6.66
32.66
92.16
2.58
79.02
164.63
59.25
73.23
34.85
74.85
57.61
20.96
45.16
51.87
96.07
67.22
78.56
18.56
89.72
1.24
85.12
9.3
67.5
93.48
48.25
22.51
45.94
32.1
138.87
2.88
99.29
60.87
77.3
79.58
98.09
47.77
16.12
37.46
93.61
0.36
45.79
23.41
233.55
60.69
14.96
36.66
28.2
69.3
53.83
14.81
29.67
30.36
122.18
35.95
14.67
92.46
33.94
17.6
44.32
56.26
30.9
32.71
135.22
54.41
9.68
43.51
63.79
22.13
57.51
31.92
19.77
127.03
12.04
51.49
44.63
1.57
24.83
82.04
32.16
42.5
45.69
26.11
37.78
121.93
44.18
84.85
47.73
6.01
227.02
73.33
46.31
1.55
20
17.25
17.57
47.24
38.4
68.63
11.04
35.84
1.84
55.05
65.08
101.79
50.95
30.36
8.28
30.23
63.84
27.13
54.45
162.49
48.12
36.11
49.65
65.07
15.12
63.14
68.9
2.62
120.13
62.72
6.92
34.18
33.58
49.57
56.36
44.99
181.47
73.94
21.51
46.21
36.99
16.86
80.21
114.64
28.27
122.1
43.51
101.8
54.51
22.56
58.77
10.94
63.75
15.29
76.79
70.01
11.8
62.7
70.16
26.03
69.4
48.88
65.28
2.6
10.55
78.9
179.44
6.65
2.87
69.03
42.48
11.94
38.02
59.32
6.08
1.45
43.31
22.06
37.77
241.41
68.42
148.14
36.12
8.94
21.1
4.05
72.98
56.81
51
30.48
104.21
107.08
76.18
19.34
126.37
69.03
69.06
22.04
31.47
37.68
37.02
25.08
51.57
139.52
23.97
96.76
120.58
11.91
55.92
25.48
57.75
13.39
2.85
83.16
101.45
56.73
78.3
17.62
135.03
19.05
65.66
261.83
9.18
15.99
20.96
231.97
76.83
24.68
113.92
42.11
77.52
81.05
17.62
101.79
111.39
2.02
33.14
79.64
170.72
61.62
25.4
44.68
36.63
17.39
81.98
88.54
0.2
98.78
90.19
47.2
78.76
100.25
63.9
53.23
42.47
22.13
15.92
15.24
38.96
40.1
73.04
93.18
34.25
115.26
5.58
35.47
37.86
44.09
9.41
32.99
1.49
34.98
36.16
36.95
14.27
68.28
63.9
36.72
173.49
12.95
59.82
36.78
28.55
91.5
14.98
60.75
19.79
56.75
45.05
54.55
70.65
37.03
98.28
48.15
108.9
56.79
79.55
57.52
87.49
21.33
70.56
40.26
